"lipid","type","logFC","logCPM","LR","PValue","FDR","I7-1","I7-2","I7-3","I7-4","S7-1","S7-2","S7-3","S7-4","Blank","mean1","mean2"
"(11Z)-eicoseneoylcarnitine","AC",-0.0699348731701039,10.5759030096102,0.110322835782426,0.739776890839871,0.999799278063257,509614.415119237,412033.666877779,245469.798660257,346312.083251982,313744.162841823,430189.266204815,421749.368000046,477328.273937255,575645.06298823,378357.490977314,410752.767745985
"(11Z,14Z)-eicosadienoylcarnitine","AC",-0.0780397671474403,10.5800467356895,0.137372361649795,0.710907341086817,0.999799278063257,483587.254177128,415460.708889062,246664.236053461,365016.186706489,297996.421752883,419533.388996127,436996.31175994,494695.792831492,579625.20288088,377682.096456535,412305.47883511
"(13Z,16Z)-docosadienoylcarnitine","AC",0.395682823918628,9.82602916397554,3.52078993243185,0.0606035566241694,0.999799278063257,249131.896640827,208039.634777113,223064.475482847,355666.383972012,165041.39093782,206914.694828037,212921.175785043,234413.937023141,348390.385254,258975.5977182,204822.79964351
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","AC",0.109007850649469,9.83212403469781,0.267985244243391,0.604686500573959,0.999799278063257,243878.577606223,209590.614074733,172638.952087432,243280.618621875,166469.093017544,210201.554901109,219580.93557737,239434.856750498,472021.60058606,217347.190597566,208921.61006163
"(5Z,8Z)-tetradecadienoylcarnitine","AC",-0.058961675013308,9.810931333989,0.0784164807773777,0.779454927132548,0.999799278063257,261732.0989075,219389.574707011,138687.190147383,190586.533325196,178151.19274897,228783.695251499,223582.956115731,242996.6567688,466295.71301268,202598.849271772,218378.62522125
"(7Z,10Z)-hexadecadienoylcarnitine","AC",0.232263251640644,9.76724016268567,1.2156035196399,0.270225191874339,0.999799278063257,241721.537872247,214942.195129378,188344.293090821,276321.842559669,158465.230590776,207831.935180688,215528.515197739,232545.576629607,371385.42468267,230332.467163029,203592.814399703
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","AC",-0.0525840942895738,10.0487571575937,0.0623724107233556,0.802784794570652,0.999799278063257,313522.442890166,282161.500431097,173283.572605098,251303.837039865,194484.713996882,291835.060497311,282026.439056405,328217.783145906,453121.77490233,255067.838241556,274140.999174126
"(9Z)-3-hydroxyoctadecenoylcarnitine","AC",0.647229568051228,11.8138254698076,9.37224229550338,0.00220295873960638,0.106381588167444,1791770.12689197,791880.43087384,679519.95300287,1525087.14038089,616502.002262126,767803.83570485,874746.841125553,902128.901531492,945699.606445531,1197064.41278739,790295.395156005
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","AC",0.855726597543553,10.3020073756255,16.2824365910128,5.45673948104794e-05,0.00355162565353425,738482.323334227,255578.85791023,252900.938964822,488743.199432443,200691.093139607,242604.996276871,275143.599182138,271155.458374023,378433.16699213,433926.32991043,247398.78674316
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","AC",0.778531278592355,11.7226014865636,13.5109704133211,0.000237172861972642,0.0131499175693721,1830531.61438048,721333.1921387,677213.44860845,1451680.9140626,540676.996604927,704853.709865549,777068.256408758,799519.676681521,857056.56250038,1170189.79229756,705529.659890189
"1-O-behenoyl-Cer(d18:1/16:0)","CER",0.00503474693521835,5.52888395004264,0.000570855131286407,0.980938297033094,0.999799278063257,12007.2009429932,6989.2005043023,15214.6211242736,16922.3413658107,10312.6206855746,14160.8610305685,16554.3811378527,12042.4408607493,10514.2607498159,12783.3409843449,13267.5759286863
"1-O-carboceroyl-Cer(d18:1/16:0)","CER",-0.0214980969399551,5.53912995733977,0.0104081225181858,0.918740636360939,0.999799278063257,9339.5006904631,7744.1205368037,14850.6810874916,18992.4814682005,9715.1606712359,15205.9611167863,16083.2810592552,13076.1209526041,10562.8406944265,12731.6959457397,13520.1309499704
"1-O-carboceroyl-Cer(d18:1/18:0)","CER",0.0582398893906805,5.02357272946102,0.0763149622873236,0.782354805547159,0.999799278063257,7336.0204887361,6791.9203948963,10479.2807464576,10513.7407608025,7475.2005310024,9810.4006080604,9866.1607208227,8023.6805992129,9775.20070648359,8780.24059772312,8793.8606147746
"1-O-cerotoyl-Cer(d18:1/16:0)","CER",0.168380367726474,6.57426923682056,0.638669844864125,0.42419287640164,0.999799278063257,11996.1608047486,16504.7610053986,37954.4032478287,36263.1622505238,14592.1809310889,29769.342262274,30097.7022399836,21627.0214691215,33642.1421279963,25679.6218271249,24021.561725617
"1-O-cerotoyl-Cer(d18:1/18:0)","CER",0.455696240560971,7.00533192361674,4.66219885880764,0.0308336804532339,0.887654223817138,14801.6210441651,21908.5617256108,57764.2845038717,54192.8830222384,14909.2610626263,38580.182922365,40200.4433593832,20574.6810989339,48675.1836280789,37166.8375739715,28566.1421108271
"1-O-eicosanoyl-Cer(d18:1/16:0)","CER",-0.0138081747107947,5.65552562449937,0.00429436849935882,0.947750881485628,0.999799278063257,11188.1207962005,9585.8005905123,17042.6613731392,17010.7211418189,11663.320877076,16695.0611877397,17543.1012611335,11882.8409385668,12446.6808738727,13706.8259754177,14446.081066129
"1-O-lignoceroyl-Cer(d18:1/16:0)","CER",-0.026471722788503,5.56942050097835,0.0157816966105315,0.900028596197359,0.999799278063257,10087.3806610096,7605.1004600491,15913.4411811867,18605.7614631748,12650.2209930427,14969.9209518405,17533.8810729968,10301.040699006,10372.9807930017,13052.920941355,13863.7659292215
"1-O-myristoyl-Cer(d18:1/16:0)","CER",-0.0584621578598398,6.21402558608672,0.0770148461233475,0.781384314911208,0.999799278063257,13892.8609962496,11167.9207954436,26615.3018722601,27128.8020439198,16874.3010597244,24623.6216659603,27678.0220489584,16622.0611991835,19107.1813850401,19701.2214269683,21449.5014934566
"1-O-palmitoyl-Cer(d18:1/16:0)","CER",-0.0522017780285077,5.77047356236294,0.0613797896359234,0.804328269262795,0.999799278063257,13664.7209854073,8023.66056060579,17555.7011833165,18903.321243292,12560.6408653252,18113.9411773689,17054.5211830081,15277.9409828155,14159.8610916157,14536.8509931554,15751.7610521294
"1-O-stearoyl-Cer(d18:1/16:0)","CER",-0.116063765666387,5.77316479830801,0.303351165118784,0.58178912857273,0.999799278063257,9901.620716097,8859.4806442216,16265.1811409028,21217.3814582733,14124.6410102874,15560.3811340356,20707.0814895547,13048.5408744809,15060.661079403,14060.9159898737,15860.1611270897
"1-O-tricosanoyl-Cer(d18:1/16:0)","CER",-0.129726603473425,5.6516082286856,0.378917103180015,0.538183354879304,0.999799278063257,11035.6807365445,8505.5005607672,15938.7411155764,17578.8012466455,12547.7208824146,16208.0811691311,19379.0213088873,12325.9608612033,11440.0408020018,13264.6809148834,15115.1960554091
"1-O-tricosanoyl-Cer(d18:1/18:0)","CER",-0.0441029113167102,4.60173925176013,0.0437230152589478,0.834369791559093,0.999799278063257,6316.3204154956,4838.7203483581,6624.16046524171,7333.6205406197,6472.5204696675,6657.9005126972,7445.0005264305,6286.4404258735,7659.3405990601,6278.20544242878,6715.46548366718
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine","AC",0.0754559106999903,11.2874483557405,0.128430405986364,0.720065030897749,0.999799278063257,824615.757995647,668977.569850879,420231.092529319,771985.63671879,486033.855834933,673023.522472342,699099.328872646,782718.573059003,815895.59716777,671452.514273659,660218.820059731
"12:0 Cholesteryl ester","CE",-0.0933301313856433,8.28404800082395,0.196426422406148,0.65762093006248,0.999799278063257,72044.745071415,128041.708557127,67649.004875171,70198.785125734,80995.06575012,85273.666030896,121837.508995039,83098.4459304696,67651.7247238085,84483.5609073618,92801.1716766311
"14:0 Cholesteryl ester","CE",-0.0917479888243438,6.7817683103613,0.189728511200428,0.663142671367089,0.999799278063257,28080.3020477253,30735.3821907058,26318.081794743,30274.8221817,29547.2020721409,31649.7422332841,35131.702407833,31058.74217225,29595.7021408086,28852.1470537185,31846.847221377
"14:1 Cholesteryl ester","CE",-0.0960050538936371,6.81553223609809,0.20774487315947,0.648540720384235,0.999799278063257,30341.9220657349,31499.5021514937,27451.981773377,29320.202056887,30295.1421127314,33972.12232971,34877.942596445,32259.661994931,29407.8221130405,29653.4020118731,32851.2172584544
"15:0 Campesteryl ester_simulated","CE",0.000567845852167653,8.5817694810619,7.27302051473089e-06,0.997848224584331,0.999799278063257,104661.327270519,110655.207946791,100622.606872546,101825.486816395,103248.2073364,112373.787841787,106170.307617173,111455.54833983,99475.466613776,104441.157226563,108311.962783797
