"lipid","type","logFC","logCPM","LR","PValue","FDR","SolventBlank","5A","5C","5D","5E","4A","4C","4D","4E","mean1","mean2"
"(11Z)-eicoseneoylcarnitine","AC",-0.0489486900732066,10.7742117049998,0.0234995747141511,0.87816508359021,0.999955892769757,1352628.2929686,1404051.9248043,1882103.2158203,1520609.4296875,1725119.8447263,1525389.5048827,1796938.02832011,1707217.5624997,1607204.3359372,1659187.35790993,1632971.1037596
"(11Z,14Z)-eicosadienoylcarnitine","AC",-0.0346688879456393,10.7059440710633,0.011788755766247,0.913538768232911,0.999955892769757,1308280.3896489,1325962.7939448,1818671.6884775,1436360.4804686,1648738.1816408,1422880.0771483,1710144.9414064,1615061.2763675,1560882.4472655,1577242.18554692,1557433.28613293
"(13Z,16Z)-docosadienoylcarnitine","AC",0.0260183121250788,10.670637684528,0.0066397392165527,0.935056575574009,0.999955892769757,1116669.43969706,1177142.12402347,2343304.80371057,1346935.26464808,1614293.36767533,1306103.08715887,1619934.8168938,1615231.51025277,1440953.40429735,1495555.7046507,1620418.89001436
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","AC",0.0283650005737666,10.5804148497645,0.0078914525147411,0.929213957366684,0.999955892769757,766595.77685567,1463067.85253915,1460746.32519537,1945723.38720697,1630091.03295886,1377068.78613237,1469560.45898391,1294155.56933548,1335218.18505875,1369000.74987763,1624907.14947509
"(5Z,8Z)-tetradecadienoylcarnitine","AC",-1.02004313658084,10.6498800951406,9.99977834928723,0.00156559068071906,0.146480578064777,801963.05908214,929107.48828138,1290928.13476547,967569.35253904,5211554.00000071,933477.18603517,990120.048339801,1233599.07763663,935166.10107417,1023090.60327144,2099789.74389665
"(7Z,10Z)-hexadecadienoylcarnitine","AC",-0.00663795486320262,9.75337370646148,0.000432179649578757,0.983414027663547,0.999955892769757,635406.78515624,742317.19238291,946677.63525388,792361.61865229,897465.24462891,743930.45410157,806517.31591817,857187.72460954,736947.83349611,786145.832031348,844705.422729498
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","AC",0.00607036031391398,10.7218656928908,0.000361432637873804,0.984832025689418,0.999955892769757,1202994.58715867,1213585.48779299,2294135.83447283,1366792.11254884,1618732.40332136,1337271.93701181,1783912.79833998,1624262.71533278,1616974.98388632,1590605.60864272,1623311.45953401
"(9Z)-3-hydroxyoctadecenoylcarnitine","AC",0.0417548299030461,11.6117621103475,0.017100081051467,0.895959408874516,0.999955892769757,1854346.1132807,4256180.0097657,3003814.8281243,2437820.3730468,2754386.9492189,3333708.6523439,2799328.2167962,2864614.3554688,2718563.8623048,2929053.77172842,3113050.54003893
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","AC",0.00183459807513979,10.4694912675843,3.30139882862568e-05,0.995415556040195,0.999955892769757,822958.77978509,1721083.57324214,1474870.51611232,1074470.5151368,1245736.29540954,1398446.95751953,1247168.54345724,1433158.93066398,1387624.48339793,1366599.72875967,1379040.2249752
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","AC",0.0486509163213555,11.4284842687165,0.0232145997288171,0.878900337918227,0.999955892769757,1546114.0898432,3835346.4531251,2734429.0917974,2067626.3251952,2390498.982422,2935261.6718749,2388136.2587892,2570634.0312489,2473349.7617179,2591845.43090772,2756975.21313492
"1-O-behenoyl-Cer(d18:1/16:0)","CER",0.0829250538002513,5.33862378596681,0.0674211472168622,0.795129270973188,0.999955892769757,34619.542419438,39319.202758776,36509.0624313369,37412.18264008,30758.3622283977,38226.282577512,41330.0030517418,38894.802841184,37345.36262512,38949.1127738895,35999.7025146477
"1-O-carboceroyl-Cer(d18:1/16:0)","CER",-0.133949190206062,5.97981325455729,0.175888944101246,0.674930284450146,0.999955892769757,38048.002899165,51056.063720695,51117.983566273,44877.18292998,41120.1429519654,46623.7833938551,55777.4633789045,72518.805564871,123627.849502549,74636.9754600449,47042.8432922283
"1-O-carboceroyl-Cer(d18:1/18:0)","CER",0.0389739415523359,4.53704122918775,0.0148913086949847,0.902875298856978,0.999955892769757,19196.2813644416,23250.2216873124,20594.8414726317,20565.561321259,18743.0213928229,20888.281440737,23149.8816299526,24114.7417373588,21528.6215629599,22420.3815927521,20788.4114685065
"1-O-cerotoyl-Cer(d18:1/16:0)","CER",-0.532839520237623,6.92719793271278,2.76880950002351,0.0961176236961856,0.999955892769757,38759.382720946,81789.245834313,78543.8254966992,94886.507507361,59708.6244315916,83100.4057311931,92669.326164205,213174.196365357,278100.035358397,166760.990904788,78732.0508174912
"1-O-cerotoyl-Cer(d18:1/18:0)","CER",-0.708120137806627,7.23998137112996,4.86925132481883,0.0273393589564769,0.999955892769757,34329.762130742,92692.987380987,85346.3059692242,112854.888172103,73446.7257613669,100305.168777498,98913.5862350629,285173.903335537,386939.465621931,217833.030992507,91085.2268209203
"1-O-eicosanoyl-Cer(d18:1/16:0)","CER",0.148515825537738,5.26839591706708,0.216188993187075,0.641959184120413,0.999955892769757,32147.9623718241,40350.3828582574,36407.0825424129,36610.722564686,26429.3218116706,36472.402725218,39703.8226776212,37444.102737433,33300.4822998041,36730.2026100191,34949.3774442567
"1-O-lignoceroyl-Cer(d18:1/16:0)","CER",-0.136412352222675,5.93453798194797,0.182413918711745,0.669306911854053,0.999955892769757,34160.862197878,49860.943878168,51251.123443592,45792.743240358,39533.5425262336,46874.223464957,56206.4840469253,68298.964874283,117250.10804749,72157.4451084138,46609.5882720879
"1-O-myristoyl-Cer(d18:1/16:0)","CER",0.0546560638697463,5.75469337607178,0.0292930724456655,0.86410409885615,0.999955892769757,49382.863464358,50252.803375229,51620.743423454,45116.922897339,40572.922576898,53052.50373841,57083.144195551,51837.563751224,47025.92324828,52249.7837333662,46890.84806823
"1-O-palmitoyl-Cer(d18:1/16:0)","CER",0.103236181827475,5.50886711794736,0.104488678919978,0.746508123463392,0.999955892769757,41429.162757869,45863.663269051,42872.96295165,38317.402664181,34757.6425170894,45789.863296503,44119.703124992,43027.82305907,39608.442596437,43136.4580192505,40452.9178504928
"1-O-stearoyl-Cer(d18:1/16:0)","CER",0.0857073035332675,5.29646594295739,0.0720198290736107,0.788418297538701,0.999955892769757,32585.4820785515,38304.242782592,37878.9627151423,34293.2023925808,27823.182151783,36168.062500002,41500.163162215,38401.122711179,38372.642532335,38610.4977264327,34574.8975105245
"1-O-tricosanoyl-Cer(d18:1/16:0)","CER",0.0207996570938409,5.88327360118038,0.00424250387584379,0.948066906914422,0.999955892769757,42042.583030701,49893.303558339,50513.083595282,50764.843460079,38283.002685532,45614.483413684,55824.304039005,63588.044921861,92996.225524923,64505.7644748683,47363.558324808
"1-O-tricosanoyl-Cer(d18:1/18:0)","CER",0.10948248416505,4.09548334859716,0.11746503755568,0.731800291125981,0.999955892769757,14360.4010047894,16452.9011535615,17299.2411117596,14796.7210273742,12438.100914001,16443.281211852,16703.1812171891,16532.9811248839,16389.7811431854,16517.3061742776,15246.7410516741
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine","AC",-0.0105987150890931,11.0934056696612,0.00110180460160336,0.973520327650634,0.999955892769757,1719192.5791019,2032023.1621096,2224863.2792973,1865205.9296874,2214468.1054693,1980190.4238284,2113728.5761717,2062508.0820313,1879920.8095707,2009086.97290052,2084140.1191409
"12:0 Cholesteryl ester","CE",0.126332632272453,6.72696179222444,0.15647662159444,0.692421342606736,0.999955892769757,101390.187271122,100585.746902454,108161.647560117,86136.745986928,97598.506988523,91475.686843873,93661.706665038,105243.607482879,89005.706283574,94846.676818841,98120.6618595055
"14:0 Cholesteryl ester","CE",0.102781119682694,5.66952124247856,0.10357232098994,0.747584108072843,0.999955892769757,45323.103149414,51997.44363403,49154.0033950676,41982.083175658,47103.643386845,45367.323120119,47361.343444825,47242.663375849,44551.503005975,46130.708236692,47559.2933979002
"14:1 Cholesteryl ester","CE",0.0873732249221287,5.65651607820802,0.0748511616408507,0.784400178284418,0.999955892769757,44225.623046868,47582.443267822,49707.303573597,44688.363220214,45010.323608394,48203.883483888,47772.683380117,45706.283264167,43574.703079219,46314.3883018477,46747.1084175068
"15:0 Campesteryl ester_simulated","CE",0.0250004037857849,6.80445968948092,0.00612982282740404,0.937594838355436,0.999955892769757,81735.145584096,113988.64764404,111388.567901618,98231.607116699,99881.1070556719,111844.048736557,104901.087432865,104377.347351079,100167.006835944,105322.372589111,105872.482429507
"15:0 Cholesteryl ester","CE",0.0671455761992542,6.41403145460025,0.0442121724051958,0.833459361878829,0.999955892769757,77599.225250243,80051.445434572,77049.40560914,77212.005523695,76120.505889879,78166.485626214,84366.445953366,79928.165466305,72904.605072008,78841.4255294732,77608.3406143215
"15:1 Campesteryl ester_simulated","CE",-0.0268526253436517,6.96412043037793,0.00707181489067921,0.932981628614041,0.999955892769757,94190.586669919,120905.288360589,121989.628845255,106409.347168,110739.767333981,123397.048584017,122398.268249497,122395.788589489,112450.908020022,120160.503360756,115011.007926956
"15:1 Cholesteryl ester","CE",0.0759349417085503,6.39814388937536,0.0565430266545519,0.812045699725423,0.999955892769757,72015.5848693649,80030.425628663,81468.04574585,77760.125610347,73990.845123294,79482.8052062979,81763.805694575,79329.705474861,71069.004943858,77911.330329898,78312.3605270385
"16:0 Campesteryl ester","CE",-0.130426235470128,7.1473854174643,0.166782482652707,0.68298729249381,0.999955892769757,70310.805084228,146289.711303721,149087.390624999,126086.689392108,122629.208404529,127484.688201901,145566.690673853,167508.512420604,130227.269714343,142696.790252675,136023.249931339
"16:0 Cholesteryl ester","CE",0.0318363553526859,6.8242924150105,0.00994025486022565,0.920581844140527,0.999955892769757,88829.906066897,110349.70828249,110069.608032245,99552.327178936,101650.566864004,109138.268035892,108656.266906725,104802.687469485,104936.907257086,106883.532417297,105405.552589419
"16:1 Cholesteryl ester","CE",-0.0137254821751499,6.96881732113128,0.00184763999249071,0.965714142297487,0.999955892769757,94506.427001947,123871.868469241,120223.628356948,108023.907714847,111371.967651357,123455.069030763,123561.948852555,119607.027954087,113354.988311777,119994.758537295,115872.843048098
"16:2 Campesteryl ester","CE",-0.0322897148340384,6.76012877912046,0.0102253357435983,0.919454882434835,0.999955892769757,72105.024841303,101323.867156975,118012.16802979,96225.546417237,89127.7862548669,93618.566741955,103837.067382801,131923.608505215,96175.3865661469,106388.657299029,101172.341964717
"16:2 Cholesteryl ester, zymosteryl palmitoleate","CE",0.046033759457749,6.79214439786057,0.0207822905939565,0.885373619668435,0.999955892769757,82031.485870363,114157.407775893,108915.28784179,99237.947265632,94804.227081299,107167.068420409,109936.488372788,102708.506866448,99729.846740717,104885.47760009,104278.717491154
